timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.graphics [MHz], clocks.current.memory [MHz], clocks_event_reasons.active
2026/05/01 13:28:19.540, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 147 MiB, 2.02 W, 39, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 13:28:20.046, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 147 MiB, 2.02 W, 39, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 13:28:20.558, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 2 %, 147 MiB, 2.02 W, 39, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 13:28:21.067, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 2 %, 147 MiB, 2.02 W, 39, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 13:28:21.576, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 147 MiB, 2.03 W, 39, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 13:28:22.080, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 147 MiB, 2.03 W, 39, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 13:28:22.589, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 147 MiB, 2.04 W, 39, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 13:28:23.098, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 147 MiB, 2.04 W, 39, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 13:28:23.609, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 147 MiB, 2.05 W, 39, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 13:28:24.112, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 147 MiB, 2.05 W, 39, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 13:28:24.621, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 147 MiB, 2.05 W, 39, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 13:28:25.135, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 147 MiB, 2.05 W, 39, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 13:28:25.651, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 147 MiB, 2.82 W, 39, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 13:28:26.153, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 147 MiB, 2.82 W, 39, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 13:28:26.660, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 147 MiB, 2.14 W, 40, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 13:28:27.166, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 147 MiB, 2.14 W, 40, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 13:28:27.674, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 147 MiB, 2.11 W, 41, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 13:28:28.183, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 147 MiB, 2.11 W, 41, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 13:28:28.691, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 1 %, 147 MiB, 2.37 W, 41, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 13:28:29.193, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 1 %, 147 MiB, 2.37 W, 41, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 13:28:29.694, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 147 MiB, 3.23 W, 41, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 13:28:30.195, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 147 MiB, 3.23 W, 41, 210 MHz, 405 MHz, 0x0000000000000001
