timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu, clocks.current.graphics [MHz], clocks.current.memory [MHz],,,,,,
15:33.5, NVIDIA GeForce RTX 4060 Laptop GPU,6%,0%, 302 MiB, 8188 MiB,2.69,40, 210 MHz, 405 MHz,,,,,,
15:34.5, NVIDIA GeForce RTX 4060 Laptop GPU,0%,0%, 302 MiB, 8188 MiB,2.53,40, 210 MHz, 405 MHz,,,,0.99,0.667453988,0.105946585
15:35.5, NVIDIA GeForce RTX 4060 Laptop GPU,0%,0%, 302 MiB, 8188 MiB,2.23,40, 210 MHz, 405 MHz,,,,,,
15:36.5, NVIDIA GeForce RTX 4060 Laptop GPU,0%,0%, 302 MiB, 8188 MiB,1.94,40, 210 MHz, 405 MHz,,,,,,
15:37.6, NVIDIA GeForce RTX 4060 Laptop GPU,0%,0%, 302 MiB, 8188 MiB,2.03,40, 210 MHz, 405 MHz,,,,,,
15:38.6, NVIDIA GeForce RTX 4060 Laptop GPU,0%,0%, 301 MiB, 8188 MiB,1.99,40, 210 MHz, 405 MHz,,,,,,
15:39.6, NVIDIA GeForce RTX 4060 Laptop GPU,0%,0%, 301 MiB, 8188 MiB,2.26,40, 210 MHz, 405 MHz,,,,,,
15:40.6, NVIDIA GeForce RTX 4060 Laptop GPU,0%,0%, 301 MiB, 8188 MiB,1.91,40, 210 MHz, 405 MHz,,,,,,
15:41.6, NVIDIA GeForce RTX 4060 Laptop GPU,0%,0%, 301 MiB, 8188 MiB,1.87,40, 210 MHz, 405 MHz,,,,,,
15:42.6, NVIDIA GeForce RTX 4060 Laptop GPU,0%,0%, 301 MiB, 8188 MiB,1.86,40, 210 MHz, 405 MHz,,,,,,
15:43.6, NVIDIA GeForce RTX 4060 Laptop GPU,16%,6%, 400 MiB, 8188 MiB,2.12,41, 210 MHz, 405 MHz,,,,,,
15:44.6, NVIDIA GeForce RTX 4060 Laptop GPU,0%,0%, 414 MiB, 8188 MiB,18.82,42, 2250 MHz, 8001 MHz,,,,,,
15:45.6, NVIDIA GeForce RTX 4060 Laptop GPU,0%,1%, 485 MiB, 8188 MiB,19.3,43, 2250 MHz, 8001 MHz,,,,,,
15:46.6, NVIDIA GeForce RTX 4060 Laptop GPU,0%,0%, 511 MiB, 8188 MiB,17.97,43, 2250 MHz, 7001 MHz,,,,,,
15:47.6, NVIDIA GeForce RTX 4060 Laptop GPU,1%,1%, 569 MiB, 8188 MiB,18.09,44, 2250 MHz, 7001 MHz,,,,,,
15:48.7, NVIDIA GeForce RTX 4060 Laptop GPU,2%,1%, 589 MiB, 8188 MiB,19.36,44, 2250 MHz, 8001 MHz,,,,,,
15:49.7, NVIDIA GeForce RTX 4060 Laptop GPU,1%,6%, 606 MiB, 8188 MiB,9.58,43, 495 MHz, 810 MHz,,,,,,
15:50.7, NVIDIA GeForce RTX 4060 Laptop GPU,0%,19%, 624 MiB, 8188 MiB,4.71,43, 330 MHz, 405 MHz,,,,,,
15:51.7, NVIDIA GeForce RTX 4060 Laptop GPU,7%,5%, 730 MiB, 8188 MiB,21.92,45, 2250 MHz, 7001 MHz,,,,,,
15:52.7, NVIDIA GeForce RTX 4060 Laptop GPU,12%,4%, 785 MiB, 8188 MiB,23.18,48, 2250 MHz, 8001 MHz,,,,,,
15:53.7, NVIDIA GeForce RTX 4060 Laptop GPU,87%,31%, 788 MiB, 8188 MiB,78.22,58, 2490 MHz, 8001 MHz,,,,,,
15:54.7, NVIDIA GeForce RTX 4060 Laptop GPU,86%,29%, 788 MiB, 8188 MiB,80.5,59, 2505 MHz, 8001 MHz,,,,,,
15:55.7, NVIDIA GeForce RTX 4060 Laptop GPU,54%,19%, 788 MiB, 8188 MiB,51.11,58, 2505 MHz, 8001 MHz,,,,,,
15:56.7, NVIDIA GeForce RTX 4060 Laptop GPU,86%,30%, 788 MiB, 8188 MiB,72.65,60, 2400 MHz, 8001 MHz,,,,,,
15:57.7, NVIDIA GeForce RTX 4060 Laptop GPU,87%,32%, 789 MiB, 8188 MiB,77.16,61, 2325 MHz, 8001 MHz,,,,,,
15:58.7, NVIDIA GeForce RTX 4060 Laptop GPU,93%,34%, 789 MiB, 8188 MiB,76.28,61, 2340 MHz, 8001 MHz,,,,,,
15:59.7, NVIDIA GeForce RTX 4060 Laptop GPU,88%,34%, 789 MiB, 8188 MiB,73.25,61, 2265 MHz, 8001 MHz,,,,,,
16:00.7, NVIDIA GeForce RTX 4060 Laptop GPU,85%,32%, 789 MiB, 8188 MiB,76.49,62, 2250 MHz, 8001 MHz,,,,,,
16:01.7, NVIDIA GeForce RTX 4060 Laptop GPU,95%,35%, 785 MiB, 8188 MiB,77.41,63, 2310 MHz, 8001 MHz,,,,,,
16:02.8, NVIDIA GeForce RTX 4060 Laptop GPU,97%,37%, 785 MiB, 8188 MiB,81.92,64, 2385 MHz, 8001 MHz,,,,,,
16:03.8, NVIDIA GeForce RTX 4060 Laptop GPU,96%,37%, 785 MiB, 8188 MiB,85.18,65, 2355 MHz, 8001 MHz,,,,,,
