timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu, clocks.current.graphics [MHz], clocks.current.memory [MHz],,,,,,
21:39.5, NVIDIA GeForce RTX 4060 Laptop GPU,0%,0%, 357 MiB, 8188 MiB,3.5,52, 210 MHz, 405 MHz,,,,,,
21:40.5, NVIDIA GeForce RTX 4060 Laptop GPU,0%,0%, 357 MiB, 8188 MiB,4.04,52, 210 MHz, 405 MHz,,,,0.93,0.74903537,0.092866594
21:41.5, NVIDIA GeForce RTX 4060 Laptop GPU,0%,0%, 357 MiB, 8188 MiB,4.02,52, 210 MHz, 405 MHz,,,,,,
21:42.5, NVIDIA GeForce RTX 4060 Laptop GPU,0%,0%, 357 MiB, 8188 MiB,2.33,51, 210 MHz, 405 MHz,,,,,,
21:43.5, NVIDIA GeForce RTX 4060 Laptop GPU,0%,2%, 357 MiB, 8188 MiB,2.06,52, 210 MHz, 405 MHz,,,,,,
21:44.5, NVIDIA GeForce RTX 4060 Laptop GPU,0%,0%, 357 MiB, 8188 MiB,2.11,52, 210 MHz, 405 MHz,,,,,,
21:45.5, NVIDIA GeForce RTX 4060 Laptop GPU,0%,0%, 390 MiB, 8188 MiB,19.65,53, 2250 MHz, 8001 MHz,,,,,,
21:46.6, NVIDIA GeForce RTX 4060 Laptop GPU,0%,1%, 448 MiB, 8188 MiB,20.24,54, 2250 MHz, 8001 MHz,,,,,,
21:47.6, NVIDIA GeForce RTX 4060 Laptop GPU,1%,0%, 467 MiB, 8188 MiB,19.89,54, 2250 MHz, 8001 MHz,,,,,,
21:48.6, NVIDIA GeForce RTX 4060 Laptop GPU,0%,0%, 467 MiB, 8188 MiB,20.22,54, 2250 MHz, 8001 MHz,,,,,,
21:49.6, NVIDIA GeForce RTX 4060 Laptop GPU,0%,1%, 467 MiB, 8188 MiB,15.3,52, 465 MHz, 810 MHz,,,,,,
21:50.6, NVIDIA GeForce RTX 4060 Laptop GPU,2%,0%, 547 MiB, 8188 MiB,19.93,54, 2250 MHz, 8001 MHz,,,,,,
21:51.6, NVIDIA GeForce RTX 4060 Laptop GPU,1%,1%, 573 MiB, 8188 MiB,21.9,54, 2250 MHz, 8001 MHz,,,,,,
21:52.6, NVIDIA GeForce RTX 4060 Laptop GPU,4%,6%, 595 MiB, 8188 MiB,9.65,53, 525 MHz, 810 MHz,,,,,,
21:53.6, NVIDIA GeForce RTX 4060 Laptop GPU,6%,21%, 618 MiB, 8188 MiB,5.18,53, 345 MHz, 405 MHz,,,,,,
21:54.6, NVIDIA GeForce RTX 4060 Laptop GPU,34%,34%, 614 MiB, 8188 MiB,6.45,53, 270 MHz, 405 MHz,,,,,,
21:55.6, NVIDIA GeForce RTX 4060 Laptop GPU,88%,41%, 752 MiB, 8188 MiB,7.41,55, 225 MHz, 405 MHz,,,,,,
21:56.6, NVIDIA GeForce RTX 4060 Laptop GPU,92%,23%, 798 MiB, 8188 MiB,83.32,68, 2490 MHz, 8001 MHz,,,,,,
21:57.6, NVIDIA GeForce RTX 4060 Laptop GPU,92%,25%, 800 MiB, 8188 MiB,84.28,66, 2490 MHz, 8001 MHz,,,,,,
21:58.6, NVIDIA GeForce RTX 4060 Laptop GPU,91%,26%, 800 MiB, 8188 MiB,85.05,70, 2490 MHz, 8001 MHz,,,,,,
21:59.6, NVIDIA GeForce RTX 4060 Laptop GPU,91%,27%, 800 MiB, 8188 MiB,85.75,70, 2490 MHz, 8001 MHz,,,,,,
22:00.6, NVIDIA GeForce RTX 4060 Laptop GPU,92%,28%, 800 MiB, 8188 MiB,86.36,71, 2490 MHz, 8001 MHz,,,,,,
22:01.7, NVIDIA GeForce RTX 4060 Laptop GPU,91%,28%, 800 MiB, 8188 MiB,86.5,72, 2490 MHz, 8001 MHz,,,,,,
22:02.7, NVIDIA GeForce RTX 4060 Laptop GPU,92%,30%, 800 MiB, 8188 MiB,86.1,72, 2490 MHz, 8001 MHz,,,,,,
22:03.7, NVIDIA GeForce RTX 4060 Laptop GPU,92%,28%, 802 MiB, 8188 MiB,86.91,73, 2490 MHz, 8001 MHz,,,,,,
22:04.7, NVIDIA GeForce RTX 4060 Laptop GPU,92%,28%, 802 MiB, 8188 MiB,87.32,73, 2490 MHz, 8001 MHz,,,,,,
22:05.7, NVIDIA GeForce RTX 4060 Laptop GPU,92%,28%, 802 MiB, 8188 MiB,87.55,73, 2490 MHz, 8001 MHz,,,,,,
22:06.7, NVIDIA GeForce RTX 4060 Laptop GPU,92%,28%, 802 MiB, 8188 MiB,86.85,74, 2490 MHz, 8001 MHz,,,,,,
22:07.7, NVIDIA GeForce RTX 4060 Laptop GPU,92%,27%, 802 MiB, 8188 MiB,87.54,74, 2490 MHz, 8001 MHz,,,,,,
22:08.7, NVIDIA GeForce RTX 4060 Laptop GPU,92%,26%, 802 MiB, 8188 MiB,87.55,75, 2490 MHz, 8001 MHz,,,,,,
22:09.7, NVIDIA GeForce RTX 4060 Laptop GPU,91%,27%, 802 MiB, 8188 MiB,88.01,75, 2490 MHz, 8001 MHz,,,,,,
22:10.7, NVIDIA GeForce RTX 4060 Laptop GPU,92%,27%, 802 MiB, 8188 MiB,87.98,75, 2490 MHz, 8001 MHz,,,,,,
22:11.7, NVIDIA GeForce RTX 4060 Laptop GPU,91%,27%, 802 MiB, 8188 MiB,89.17,76, 2490 MHz, 8001 MHz,,,,,,
22:12.7, NVIDIA GeForce RTX 4060 Laptop GPU,92%,26%, 802 MiB, 8188 MiB,88.53,76, 2490 MHz, 8001 MHz,,,,,,
22:13.7, NVIDIA GeForce RTX 4060 Laptop GPU,89%,22%, 797 MiB, 8188 MiB,88.08,76, 2490 MHz, 8001 MHz,,,,,,
22:14.8, NVIDIA GeForce RTX 4060 Laptop GPU,89%,22%, 797 MiB, 8188 MiB,87.61,77, 2490 MHz, 8001 MHz,,,,,,
22:15.8, NVIDIA GeForce RTX 4060 Laptop GPU,89%,22%, 797 MiB, 8188 MiB,87.94,77, 2490 MHz, 8001 MHz,,,,,,
22:16.8, NVIDIA GeForce RTX 4060 Laptop GPU,89%,23%, 797 MiB, 8188 MiB,88.57,77, 2490 MHz, 8001 MHz,,,,,,
22:17.8, NVIDIA GeForce RTX 4060 Laptop GPU,88%,23%, 797 MiB, 8188 MiB,88.82,78, 2475 MHz, 8001 MHz,,,,,,
22:18.8, NVIDIA GeForce RTX 4060 Laptop GPU,89%,23%, 797 MiB, 8188 MiB,88.75,78, 2475 MHz, 8001 MHz,,,,,,
22:19.8, NVIDIA GeForce RTX 4060 Laptop GPU,78%,18%, 797 MiB, 8188 MiB,77.74,76, 2475 MHz, 8001 MHz,,,,,,
22:20.8, NVIDIA GeForce RTX 4060 Laptop GPU,75%,17%, 797 MiB, 8188 MiB,75.99,76, 2475 MHz, 8001 MHz,,,,,,
22:21.8, NVIDIA GeForce RTX 4060 Laptop GPU,74%,17%, 797 MiB, 8188 MiB,74.37,76, 2475 MHz, 8001 MHz,,,,,,
22:22.8, NVIDIA GeForce RTX 4060 Laptop GPU,75%,17%, 797 MiB, 8188 MiB,74.48,76, 2475 MHz, 8001 MHz,,,,,,
22:23.8, NVIDIA GeForce RTX 4060 Laptop GPU,75%,17%, 797 MiB, 8188 MiB,74.87,77, 2475 MHz, 8001 MHz,,,,,,
