timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.graphics [MHz], clocks.current.memory [MHz], clocks_event_reasons.active
2026/05/01 14:01:23.456, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 204 MiB, 1.84 W, 39, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:01:23.958, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 204 MiB, 1.83 W, 39, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:01:24.460, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 204 MiB, 1.83 W, 39, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:01:24.966, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 2 %, 204 MiB, 1.84 W, 39, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:01:25.492, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 2 %, 204 MiB, 1.84 W, 39, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:01:26.018, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 1 %, 204 MiB, 1.87 W, 39, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:01:26.530, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 1 %, 204 MiB, 1.87 W, 39, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:01:27.033, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 3 %, 204 MiB, 2.07 W, 40, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:01:27.543, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 3 %, 204 MiB, 2.07 W, 40, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:01:28.045, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 204 MiB, 1.86 W, 40, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:01:28.546, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 204 MiB, 19.53 W, 41, 2250 MHz, 8001 MHz, 0x0000000000000001
2026/05/01 14:01:29.048, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 204 MiB, 18.81 W, 42, 2250 MHz, 8001 MHz, 0x0000000000000001
2026/05/01 14:01:29.550, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 204 MiB, 18.77 W, 42, 2250 MHz, 8001 MHz, 0x0000000000000001
2026/05/01 14:01:30.052, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 204 MiB, 18.77 W, 42, 2250 MHz, 8001 MHz, 0x0000000000000001
2026/05/01 14:01:30.554, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 204 MiB, 18.73 W, 42, 2250 MHz, 8001 MHz, 0x0000000000000001
2026/05/01 14:01:31.057, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 204 MiB, 18.73 W, 42, 2250 MHz, 8001 MHz, 0x0000000000000001
2026/05/01 14:01:31.567, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 204 MiB, 9.09 W, 41, 375 MHz, 810 MHz, 0x0000000000000001
