timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.graphics [MHz], clocks.current.memory [MHz], clocks_event_reasons.active
2026/05/01 14:23:00.970, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 255 MiB, 1.84 W, 39, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:23:01.481, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 255 MiB, 1.84 W, 39, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:23:01.982, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 255 MiB, 1.85 W, 39, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:23:02.492, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 255 MiB, 1.85 W, 39, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:23:03.022, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 255 MiB, 1.87 W, 39, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:23:03.543, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 255 MiB, 1.87 W, 39, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:23:04.050, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 255 MiB, 2.37 W, 39, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:23:04.560, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 255 MiB, 2.37 W, 39, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:23:05.070, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 255 MiB, 2.01 W, 40, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:23:05.580, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 263 MiB, 2.01 W, 40, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:23:06.094, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 255 MiB, 17.22 W, 41, 2250 MHz, 7001 MHz, 0x0000000000000024
2026/05/01 14:23:06.595, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 255 MiB, 18.76 W, 42, 2250 MHz, 8001 MHz, 0x0000000000000001
2026/05/01 14:23:07.102, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 255 MiB, 18.66 W, 42, 2250 MHz, 8001 MHz, 0x0000000000000001
2026/05/01 14:23:07.603, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 255 MiB, 18.66 W, 42, 2250 MHz, 8001 MHz, 0x0000000000000001
2026/05/01 14:23:08.107, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 255 MiB, 18.47 W, 42, 2250 MHz, 8001 MHz, 0x0000000000000001
2026/05/01 14:23:08.620, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 255 MiB, 18.47 W, 42, 2250 MHz, 8001 MHz, 0x0000000000000001
2026/05/01 14:23:09.132, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 255 MiB, 9.21 W, 41, 375 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:23:09.643, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 255 MiB, 9.21 W, 41, 375 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:23:10.152, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 255 MiB, 2.06 W, 41, 240 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:23:10.652, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 255 MiB, 2.06 W, 41, 240 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:23:11.155, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 255 MiB, 2.00 W, 41, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:23:11.667, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 255 MiB, 2.00 W, 41, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:23:12.175, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 255 MiB, 2.00 W, 41, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:23:12.677, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 255 MiB, 2.00 W, 41, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:23:13.192, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 255 MiB, 2.00 W, 41, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:23:13.695, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 255 MiB, 2.00 W, 41, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:23:14.210, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 255 MiB, 2.01 W, 41, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:23:14.712, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 255 MiB, 2.01 W, 41, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:23:15.213, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 255 MiB, 1.99 W, 41, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:23:15.726, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 255 MiB, 1.99 W, 41, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:23:16.228, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 255 MiB, 1.99 W, 41, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:23:16.740, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 255 MiB, 1.99 W, 41, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:23:17.242, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 255 MiB, 2.00 W, 41, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:23:17.750, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 255 MiB, 2.00 W, 41, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:23:18.253, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 255 MiB, 2.00 W, 41, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:23:18.758, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 255 MiB, 2.00 W, 41, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:23:19.270, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 255 MiB, 2.00 W, 41, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:23:19.772, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 257 MiB, 2.00 W, 41, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:23:20.276, NVIDIA GeForce RTX 4060 Laptop GPU, 30 %, 0 %, 257 MiB, 2.70 W, 42, 2250 MHz, 8001 MHz, 0x0000000000000001
2026/05/01 14:23:20.779, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 515 MiB, 18.62 W, 43, 2250 MHz, 8001 MHz, 0x0000000000000001
2026/05/01 14:23:21.279, NVIDIA GeForce RTX 4060 Laptop GPU, 4 %, 1 %, 515 MiB, 19.13 W, 43, 2250 MHz, 8001 MHz, 0x0000000000000001
2026/05/01 14:23:21.782, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 515 MiB, 18.53 W, 43, 2250 MHz, 8001 MHz, 0x0000000000000001
2026/05/01 14:23:22.288, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 515 MiB, 18.53 W, 43, 2250 MHz, 8001 MHz, 0x0000000000000001
2026/05/01 14:23:22.791, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 515 MiB, 18.59 W, 43, 2250 MHz, 8001 MHz, 0x0000000000000001
2026/05/01 14:23:23.299, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 515 MiB, 18.59 W, 43, 2250 MHz, 8001 MHz, 0x0000000000000001
2026/05/01 14:23:23.805, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 515 MiB, 7.11 W, 42, 435 MHz, 810 MHz, 0x0000000000000001
2026/05/01 14:23:24.308, NVIDIA GeForce RTX 4060 Laptop GPU, 88 %, 87 %, 3318 MiB, 9.85 W, 42, 495 MHz, 810 MHz, 0x0000000000000001
2026/05/01 14:23:24.808, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 3318 MiB, 18.41 W, 44, 2250 MHz, 8001 MHz, 0x0000000000000001
2026/05/01 14:23:25.315, NVIDIA GeForce RTX 4060 Laptop GPU, 6 %, 0 %, 4531 MiB, 18.37 W, 44, 2250 MHz, 7001 MHz, 0x0000000000000001
2026/05/01 14:23:25.823, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 36 %, 4514 MiB, 59.22 W, 53, 2505 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:26.325, NVIDIA GeForce RTX 4060 Laptop GPU, 35 %, 4 %, 7511 MiB, 24.31 W, 47, 2505 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:26.835, NVIDIA GeForce RTX 4060 Laptop GPU, 44 %, 10 %, 7243 MiB, 27.00 W, 46, 2505 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:27.347, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 22 %, 4200 MiB, 56.94 W, 52, 2505 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:27.856, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 23 %, 839 MiB, 58.11 W, 50, 2505 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:28.359, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 921 MiB, 21.44 W, 46, 2505 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:28.859, NVIDIA GeForce RTX 4060 Laptop GPU, 78 %, 32 %, 3782 MiB, 64.96 W, 51, 2505 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:29.362, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 48 %, 2168 MiB, 65.59 W, 53, 2505 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:29.872, NVIDIA GeForce RTX 4060 Laptop GPU, 57 %, 20 %, 3549 MiB, 46.58 W, 51, 2505 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:30.382, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 42 %, 2430 MiB, 49.27 W, 53, 2505 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:30.892, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 42 %, 683 MiB, 47.51 W, 54, 2505 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:31.402, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 2260 MiB, 40.95 W, 47, 2505 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:31.906, NVIDIA GeForce RTX 4060 Laptop GPU, 72 %, 23 %, 2473 MiB, 24.04 W, 52, 2505 MHz, 7001 MHz, 0x0000000000000000
2026/05/01 14:23:32.422, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 36 %, 2465 MiB, 71.37 W, 57, 2505 MHz, 7001 MHz, 0x0000000000000000
2026/05/01 14:23:32.930, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 32 %, 2427 MiB, 72.93 W, 59, 2505 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:33.440, NVIDIA GeForce RTX 4060 Laptop GPU, 65 %, 24 %, 2162 MiB, 53.54 W, 56, 2505 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:33.942, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 32 %, 3206 MiB, 65.80 W, 59, 2505 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:34.446, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 2221 MiB, 55.51 W, 48, 2505 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:34.953, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 2221 MiB, 36.08 W, 48, 2505 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:35.464, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 2221 MiB, 22.91 W, 48, 2505 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:35.972, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 2221 MiB, 22.91 W, 48, 2505 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:36.474, NVIDIA GeForce RTX 4060 Laptop GPU, 94 %, 4 %, 2210 MiB, 12.39 W, 47, 465 MHz, 6001 MHz, 0x0000000000000001
2026/05/01 14:23:36.974, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 35 %, 2157 MiB, 56.52 W, 55, 2505 MHz, 7001 MHz, 0x0000000000000001
