timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.graphics [MHz], clocks.current.memory [MHz], clocks_event_reasons.active
2026/05/01 14:29:20.690, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 128 MiB, 1.85 W, 43, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:29:21.198, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 128 MiB, 1.85 W, 43, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:29:21.701, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 128 MiB, 1.89 W, 43, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:29:22.209, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 128 MiB, 1.89 W, 43, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:29:22.722, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 128 MiB, 1.91 W, 43, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:29:23.232, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 128 MiB, 1.91 W, 43, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:29:23.762, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 128 MiB, 2.17 W, 44, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:29:24.269, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 128 MiB, 2.17 W, 44, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:29:24.774, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 128 MiB, 2.25 W, 44, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:29:25.274, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 128 MiB, 2.25 W, 44, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:29:25.775, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 128 MiB, 1.98 W, 45, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:29:26.276, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 128 MiB, 1.98 W, 45, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:29:26.777, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 128 MiB, 2.04 W, 45, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:29:27.281, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 128 MiB, 18.87 W, 46, 2250 MHz, 8001 MHz, 0x0000000000000001
