timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.graphics [MHz], clocks.current.memory [MHz], clocks_event_reasons.active
2026/05/01 14:41:28.999, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 232 MiB, 1.83 W, 38, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:41:29.511, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 232 MiB, 1.84 W, 38, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:41:30.019, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 232 MiB, 1.84 W, 38, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:41:30.520, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 232 MiB, 1.84 W, 39, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:41:31.084, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 232 MiB, 3.48 W, 39, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:41:31.611, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 232 MiB, 3.48 W, 39, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:41:32.121, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 4 %, 232 MiB, 2.04 W, 39, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:41:32.627, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 4 %, 232 MiB, 2.04 W, 39, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:41:33.129, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 232 MiB, 1.90 W, 40, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:41:33.639, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 238 MiB, 1.90 W, 40, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:41:34.150, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 232 MiB, 20.84 W, 41, 2250 MHz, 8001 MHz, 0x0000000000000001
2026/05/01 14:41:34.660, NVIDIA GeForce RTX 4060 Laptop GPU, 1 %, 0 %, 301 MiB, 18.70 W, 42, 2250 MHz, 8001 MHz, 0x0000000000000001
2026/05/01 14:41:35.162, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 301 MiB, 18.73 W, 42, 2250 MHz, 8001 MHz, 0x0000000000000001
2026/05/01 14:41:35.664, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 301 MiB, 18.64 W, 42, 2250 MHz, 8001 MHz, 0x0000000000000001
2026/05/01 14:41:36.165, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 301 MiB, 18.73 W, 42, 2250 MHz, 8001 MHz, 0x0000000000000001
2026/05/01 14:41:36.672, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 301 MiB, 18.73 W, 42, 2250 MHz, 8001 MHz, 0x0000000000000001
2026/05/01 14:41:37.176, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 301 MiB, 18.69 W, 42, 2250 MHz, 8001 MHz, 0x0000000000000001
2026/05/01 14:41:37.678, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 301 MiB, 18.69 W, 42, 2250 MHz, 8001 MHz, 0x0000000000000001
2026/05/01 14:41:38.186, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 301 MiB, 8.33 W, 42, 480 MHz, 810 MHz, 0x0000000000000001
2026/05/01 14:41:38.692, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 301 MiB, 8.33 W, 41, 480 MHz, 810 MHz, 0x0000000000000001
2026/05/01 14:41:39.203, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 301 MiB, 2.95 W, 41, 300 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:41:39.707, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 301 MiB, 2.95 W, 41, 300 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:41:40.208, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 301 MiB, 2.00 W, 41, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:41:40.717, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 301 MiB, 2.00 W, 42, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:41:41.223, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 301 MiB, 1.93 W, 42, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:41:41.723, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 301 MiB, 1.93 W, 42, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:41:42.233, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 301 MiB, 1.97 W, 42, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:41:42.734, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 301 MiB, 1.97 W, 42, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:41:43.244, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 301 MiB, 1.94 W, 42, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:41:43.756, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 301 MiB, 1.94 W, 42, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:41:44.256, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 301 MiB, 2.06 W, 42, 210 MHz, 405 MHz, 0x0000000000000001
