timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.graphics [MHz], clocks.current.memory [MHz], clocks_event_reasons.active
2026/05/01 14:47:48.284, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 232 MiB, 1.93 W, 45, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:47:48.787, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 232 MiB, 1.94 W, 44, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:47:49.294, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 232 MiB, 1.94 W, 44, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:47:49.796, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 232 MiB, 1.94 W, 44, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:47:50.334, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 3 %, 232 MiB, 1.96 W, 44, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:47:50.840, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 3 %, 232 MiB, 1.96 W, 44, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:47:51.345, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 4 %, 232 MiB, 2.47 W, 45, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:47:51.845, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 4 %, 232 MiB, 2.47 W, 45, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:47:52.348, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 238 MiB, 2.08 W, 45, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:47:52.848, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 232 MiB, 18.13 W, 47, 2250 MHz, 7001 MHz, 0x0000000000000024
2026/05/01 14:47:53.350, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 232 MiB, 19.22 W, 47, 2250 MHz, 8001 MHz, 0x0000000000000001
2026/05/01 14:47:53.857, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 232 MiB, 19.31 W, 47, 2250 MHz, 8001 MHz, 0x0000000000000001
2026/05/01 14:47:54.358, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 232 MiB, 19.31 W, 47, 2250 MHz, 8001 MHz, 0x0000000000000001
2026/05/01 14:47:54.860, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 232 MiB, 21.38 W, 47, 2250 MHz, 8001 MHz, 0x0000000000000001
2026/05/01 14:47:55.362, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 232 MiB, 21.38 W, 47, 2250 MHz, 8001 MHz, 0x0000000000000001
2026/05/01 14:47:55.868, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 232 MiB, 4.03 W, 46, 360 MHz, 405 MHz, 0x0000000000000001
2026/05/01 14:47:56.369, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 232 MiB, 4.03 W, 46, 360 MHz, 405 MHz, 0x0000000000000001
