timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.graphics [MHz], clocks.current.memory [MHz], clocks_event_reasons.active
2026/05/01 15:08:12.192, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 385 MiB, 1.86 W, 39, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 15:08:12.700, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 385 MiB, 1.87 W, 39, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 15:08:13.209, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 385 MiB, 1.87 W, 39, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 15:08:13.713, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 385 MiB, 1.88 W, 39, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 15:08:14.214, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 385 MiB, 1.88 W, 39, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 15:08:14.724, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 385 MiB, 1.90 W, 39, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 15:08:15.235, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 385 MiB, 1.90 W, 39, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 15:08:15.751, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 385 MiB, 1.89 W, 39, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 15:08:16.276, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 385 MiB, 1.89 W, 39, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 15:08:16.786, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 385 MiB, 2.29 W, 40, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 15:08:17.293, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 385 MiB, 2.29 W, 40, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 15:08:17.795, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 385 MiB, 2.00 W, 40, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 15:08:18.304, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 385 MiB, 2.00 W, 40, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 15:08:18.813, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 385 MiB, 2.17 W, 41, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 15:08:19.322, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 385 MiB, 2.17 W, 41, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 15:08:19.826, NVIDIA GeForce RTX 4060 Laptop GPU, 1 %, 1 %, 385 MiB, 11.70 W, 41, 2250 MHz, 8001 MHz, 0x0000000000000001
2026/05/01 15:08:20.335, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 438 MiB, 18.77 W, 42, 2250 MHz, 8001 MHz, 0x0000000000000001
2026/05/01 15:08:20.838, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 455 MiB, 18.93 W, 42, 2250 MHz, 8001 MHz, 0x0000000000000001
