timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.graphics [MHz], clocks.current.memory [MHz], clocks_event_reasons.active
2026/05/01 15:23:26.362, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 385 MiB, 1.85 W, 39, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 15:23:26.864, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 385 MiB, 1.85 W, 39, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 15:23:27.374, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 385 MiB, 1.85 W, 39, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 15:23:27.883, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 385 MiB, 1.85 W, 39, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 15:23:28.411, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 385 MiB, 1.87 W, 39, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 15:23:28.925, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 385 MiB, 1.87 W, 39, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 15:23:29.427, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 385 MiB, 5.28 W, 40, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 15:23:29.929, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 385 MiB, 5.28 W, 40, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 15:23:30.439, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 385 MiB, 1.97 W, 40, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 15:23:30.946, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 392 MiB, 1.97 W, 40, 210 MHz, 405 MHz, 0x0000000000000001
2026/05/01 15:23:31.456, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 385 MiB, 17.99 W, 42, 2250 MHz, 7001 MHz, 0x0000000000000024
2026/05/01 15:23:31.959, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 385 MiB, 18.79 W, 42, 2250 MHz, 8001 MHz, 0x0000000000000001
2026/05/01 15:23:32.464, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 385 MiB, 18.86 W, 42, 2250 MHz, 8001 MHz, 0x0000000000000001
2026/05/01 15:23:32.965, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 385 MiB, 18.86 W, 42, 2250 MHz, 8001 MHz, 0x0000000000000001
2026/05/01 15:23:33.466, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 385 MiB, 18.71 W, 42, 2250 MHz, 8001 MHz, 0x0000000000000001
2026/05/01 15:23:33.975, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 385 MiB, 18.71 W, 42, 2250 MHz, 8001 MHz, 0x0000000000000001
2026/05/01 15:23:34.485, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 385 MiB, 6.43 W, 41, 360 MHz, 810 MHz, 0x0000000000000001
2026/05/01 15:23:34.987, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 385 MiB, 6.43 W, 41, 360 MHz, 810 MHz, 0x0000000000000001
2026/05/01 15:23:35.488, NVIDIA GeForce RTX 4060 Laptop GPU, 0 %, 0 %, 396 MiB, 2.04 W, 41, 225 MHz, 405 MHz, 0x0000000000000001
