timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu,y, clocks.current.memory [MHz],,
16:44.1, NVIDIA GeForce RTX 4060 Laptop GPU,0%,0%, 307 MiB, 8188 MiB,2.34,45,210, 405 MHz,,
16:45.1, NVIDIA GeForce RTX 4060 Laptop GPU,1%,0%, 307 MiB, 8188 MiB,2.49,45,210, 405 MHz,,
16:46.1, NVIDIA GeForce RTX 4060 Laptop GPU,0%,0%, 307 MiB, 8188 MiB,2.46,45,210, 405 MHz,,
16:47.1, NVIDIA GeForce RTX 4060 Laptop GPU,0%,0%, 307 MiB, 8188 MiB,2.45,45,210, 405 MHz,,
16:48.1, NVIDIA GeForce RTX 4060 Laptop GPU,3%,0%, 307 MiB, 8188 MiB,2.39,44,210, 405 MHz,,
16:49.1, NVIDIA GeForce RTX 4060 Laptop GPU,7%,1%, 308 MiB, 8188 MiB,2.54,44,210, 405 MHz,,
16:50.1, NVIDIA GeForce RTX 4060 Laptop GPU,6%,0%, 308 MiB, 8188 MiB,3.67,45,210, 405 MHz,,
16:51.1, NVIDIA GeForce RTX 4060 Laptop GPU,0%,0%, 308 MiB, 8188 MiB,4.05,46,210, 405 MHz,,
16:52.1, NVIDIA GeForce RTX 4060 Laptop GPU,1%,1%, 308 MiB, 8188 MiB,3.88,46,210, 405 MHz,,
16:53.1, NVIDIA GeForce RTX 4060 Laptop GPU,1%,0%, 308 MiB, 8188 MiB,18.88,47,2250, 8001 MHz,,
16:54.1, NVIDIA GeForce RTX 4060 Laptop GPU,0%,0%, 308 MiB, 8188 MiB,18.94,47,2250, 8001 MHz,,
16:55.1, NVIDIA GeForce RTX 4060 Laptop GPU,8%,0%, 319 MiB, 8188 MiB,8.96,46,2250, 8001 MHz,,
16:56.1, NVIDIA GeForce RTX 4060 Laptop GPU,2%,0%, 311 MiB, 8188 MiB,19.06,48,2250, 8001 MHz,,
16:57.1, NVIDIA GeForce RTX 4060 Laptop GPU,25%,3%, 1095 MiB, 8188 MiB,20.44,48,2250, 8001 MHz,,
16:58.2, NVIDIA GeForce RTX 4060 Laptop GPU,87%,14%, 1709 MiB, 8188 MiB,50.38,53,2505, 8001 MHz,,2505
16:59.2, NVIDIA GeForce RTX 4060 Laptop GPU,84%,14%, 1709 MiB, 8188 MiB,45.47,53,2505, 8001 MHz,,
17:00.2, NVIDIA GeForce RTX 4060 Laptop GPU,77%,12%, 1709 MiB, 8188 MiB,45.77,54,2505, 8001 MHz,,
17:01.2, NVIDIA GeForce RTX 4060 Laptop GPU,91%,15%, 1709 MiB, 8188 MiB,49.67,55,2505, 8001 MHz,,
17:02.2, NVIDIA GeForce RTX 4060 Laptop GPU,92%,16%, 1709 MiB, 8188 MiB,51.17,56,2505, 8001 MHz,,
17:03.2, NVIDIA GeForce RTX 4060 Laptop GPU,92%,15%, 1709 MiB, 8188 MiB,50.16,56,2505, 8001 MHz,,
17:04.2, NVIDIA GeForce RTX 4060 Laptop GPU,92%,14%, 1709 MiB, 8188 MiB,50.2,56,2505, 8001 MHz,,
17:05.2, NVIDIA GeForce RTX 4060 Laptop GPU,92%,15%, 1709 MiB, 8188 MiB,51.07,57,2505, 8001 MHz,,
17:06.2, NVIDIA GeForce RTX 4060 Laptop GPU,93%,15%, 1709 MiB, 8188 MiB,51.49,57,2505, 8001 MHz,,
17:07.2, NVIDIA GeForce RTX 4060 Laptop GPU,94%,15%, 1709 MiB, 8188 MiB,51.65,57,2505, 8001 MHz,,
17:08.2, NVIDIA GeForce RTX 4060 Laptop GPU,93%,15%, 1709 MiB, 8188 MiB,51.24,58,2505, 8001 MHz,,
17:09.2, NVIDIA GeForce RTX 4060 Laptop GPU,93%,15%, 1709 MiB, 8188 MiB,51.13,58,2505, 8001 MHz,,
17:10.2, NVIDIA GeForce RTX 4060 Laptop GPU,90%,15%, 1709 MiB, 8188 MiB,51.55,58,2505, 8001 MHz,,
17:11.3, NVIDIA GeForce RTX 4060 Laptop GPU,86%,15%, 1709 MiB, 8188 MiB,51.18,58,2505, 8001 MHz,,
17:12.3, NVIDIA GeForce RTX 4060 Laptop GPU,83%,14%, 1709 MiB, 8188 MiB,48.67,59,2505, 8001 MHz,,
17:13.3, NVIDIA GeForce RTX 4060 Laptop GPU,81%,14%, 1709 MiB, 8188 MiB,50.73,59,2505, 8001 MHz,,
17:14.3, NVIDIA GeForce RTX 4060 Laptop GPU,93%,16%, 308 MiB, 8188 MiB,51.62,57,2505, 8001 MHz,,
17:15.3, NVIDIA GeForce RTX 4060 Laptop GPU,0%,0%, 311 MiB, 8188 MiB,22.62,53,2505, 8001 MHz,,
17:16.3, NVIDIA GeForce RTX 4060 Laptop GPU,4%,0%, 1014 MiB, 8188 MiB,21.54,52,2250, 8001 MHz,,
17:17.3, NVIDIA GeForce RTX 4060 Laptop GPU,94%,3%, 1709 MiB, 8188 MiB,25.83,53,2250, 7001 MHz,,
17:18.3, NVIDIA GeForce RTX 4060 Laptop GPU,97%,3%, 1709 MiB, 8188 MiB,31.45,55,2505, 8001 MHz,,
17:19.3, NVIDIA GeForce RTX 4060 Laptop GPU,97%,3%, 1709 MiB, 8188 MiB,31.76,54,2505, 8001 MHz,,
17:20.3, NVIDIA GeForce RTX 4060 Laptop GPU,98%,3%, 1709 MiB, 8188 MiB,31.35,55,2505, 8001 MHz,,
17:21.3, NVIDIA GeForce RTX 4060 Laptop GPU,98%,2%, 1709 MiB, 8188 MiB,31.28,54,2505, 8001 MHz,,
17:22.3, NVIDIA GeForce RTX 4060 Laptop GPU,97%,2%, 1709 MiB, 8188 MiB,31.31,54,2505, 8001 MHz,,
17:23.3, NVIDIA GeForce RTX 4060 Laptop GPU,96%,2%, 1709 MiB, 8188 MiB,31.29,55,2505, 8001 MHz,,
17:24.3, NVIDIA GeForce RTX 4060 Laptop GPU,97%,2%, 1709 MiB, 8188 MiB,31.45,54,2505, 8001 MHz,,
17:25.3, NVIDIA GeForce RTX 4060 Laptop GPU,97%,3%, 1709 MiB, 8188 MiB,31.4,55,2505, 8001 MHz,,
17:26.3, NVIDIA GeForce RTX 4060 Laptop GPU,98%,2%, 1709 MiB, 8188 MiB,31.16,54,2505, 8001 MHz,,
17:27.3, NVIDIA GeForce RTX 4060 Laptop GPU,98%,2%, 1709 MiB, 8188 MiB,31.4,54,2505, 8001 MHz,,
17:28.3, NVIDIA GeForce RTX 4060 Laptop GPU,98%,2%, 1709 MiB, 8188 MiB,31.42,55,2505, 8001 MHz,,
17:29.3, NVIDIA GeForce RTX 4060 Laptop GPU,97%,2%, 1709 MiB, 8188 MiB,30.52,55,2505, 8001 MHz,,
17:30.3, NVIDIA GeForce RTX 4060 Laptop GPU,97%,3%, 1709 MiB, 8188 MiB,31.28,55,2505, 8001 MHz,,
17:31.3, NVIDIA GeForce RTX 4060 Laptop GPU,98%,2%, 1709 MiB, 8188 MiB,31.52,55,2505, 8001 MHz,,
17:32.4, NVIDIA GeForce RTX 4060 Laptop GPU,98%,3%, 1709 MiB, 8188 MiB,31.52,55,2505, 8001 MHz,,
17:33.4, NVIDIA GeForce RTX 4060 Laptop GPU,98%,2%, 1709 MiB, 8188 MiB,31.1,55,2505, 8001 MHz,,
17:34.4, NVIDIA GeForce RTX 4060 Laptop GPU,97%,3%, 1709 MiB, 8188 MiB,31.45,55,2505, 8001 MHz,,
17:35.4, NVIDIA GeForce RTX 4060 Laptop GPU,97%,3%, 1709 MiB, 8188 MiB,31.72,55,2505, 8001 MHz,,
17:36.4, NVIDIA GeForce RTX 4060 Laptop GPU,99%,3%, 1709 MiB, 8188 MiB,31.45,55,2505, 8001 MHz,,
17:37.4, NVIDIA GeForce RTX 4060 Laptop GPU,98%,2%, 1709 MiB, 8188 MiB,31.41,55,2505, 8001 MHz,,
17:38.4, NVIDIA GeForce RTX 4060 Laptop GPU,98%,3%, 1709 MiB, 8188 MiB,31.42,55,2505, 8001 MHz,,
17:39.4, NVIDIA GeForce RTX 4060 Laptop GPU,98%,3%, 1709 MiB, 8188 MiB,31.49,55,2505, 8001 MHz,,
17:40.4, NVIDIA GeForce RTX 4060 Laptop GPU,97%,3%, 1709 MiB, 8188 MiB,31.53,55,2505, 8001 MHz,,
17:41.4, NVIDIA GeForce RTX 4060 Laptop GPU,97%,3%, 1717 MiB, 8188 MiB,31.39,55,2505, 8001 MHz,,
17:42.4, NVIDIA GeForce RTX 4060 Laptop GPU,96%,2%, 1717 MiB, 8188 MiB,32.21,55,2505, 8001 MHz,,
17:43.4, NVIDIA GeForce RTX 4060 Laptop GPU,98%,3%, 1717 MiB, 8188 MiB,31.47,55,2505, 8001 MHz,,
17:44.4, NVIDIA GeForce RTX 4060 Laptop GPU,97%,2%, 1717 MiB, 8188 MiB,31.4,55,2505, 8001 MHz,,
17:45.4, NVIDIA GeForce RTX 4060 Laptop GPU,96%,2%, 1717 MiB, 8188 MiB,31.23,55,2505, 8001 MHz,,
17:46.4, NVIDIA GeForce RTX 4060 Laptop GPU,96%,3%, 1717 MiB, 8188 MiB,31.36,55,2505, 8001 MHz,,
17:47.4, NVIDIA GeForce RTX 4060 Laptop GPU,98%,2%, 1717 MiB, 8188 MiB,31.7,55,2505, 8001 MHz,,
17:48.4, NVIDIA GeForce RTX 4060 Laptop GPU,98%,3%, 1717 MiB, 8188 MiB,31.5,55,2505, 8001 MHz,,
17:49.4, NVIDIA GeForce RTX 4060 Laptop GPU,97%,2%, 1717 MiB, 8188 MiB,31.37,55,2505, 8001 MHz,,
17:50.4, NVIDIA GeForce RTX 4060 Laptop GPU,98%,2%, 1717 MiB, 8188 MiB,31.53,55,2505, 8001 MHz,,
17:51.4, NVIDIA GeForce RTX 4060 Laptop GPU,98%,3%, 1717 MiB, 8188 MiB,31.46,55,2505, 8001 MHz,,
17:52.5, NVIDIA GeForce RTX 4060 Laptop GPU,0%,0%, 311 MiB, 8188 MiB,28.43,53,2505, 8001 MHz,,
17:53.5, NVIDIA GeForce RTX 4060 Laptop GPU,4%,0%, 311 MiB, 8188 MiB,22.76,53,2505, 8001 MHz,,
17:54.5, NVIDIA GeForce RTX 4060 Laptop GPU,11%,1%, 1314 MiB, 8188 MiB,20.62,53,2250, 8001 MHz,,
17:55.5, NVIDIA GeForce RTX 4060 Laptop GPU,98%,16%, 1921 MiB, 8188 MiB,61.6,62,2490, 8001 MHz,,
17:56.5, NVIDIA GeForce RTX 4060 Laptop GPU,98%,17%, 1921 MiB, 8188 MiB,66.36,63,2490, 8001 MHz,,
