timestamp, temperature.gpu, power.draw [W], utilization.gpu [%], clocks.current.graphics [MHz], clocks.current.memory [MHz], clocks.current.sm [MHz], clocks_event_reasons.active
2026/05/01 21:46:54.612, 41, 1.93 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:46:55.114, 41, 1.96 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:46:55.620, 41, 1.96 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:46:56.121, 41, 1.96 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:46:56.629, 41, 1.96 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:46:57.139, 41, 1.94 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:46:57.644, 41, 1.94 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:46:58.149, 41, 2.01 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:46:58.650, 41, 2.13 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:46:59.159, 41, 2.27 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:46:59.661, 41, 2.27 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:47:00.169, 41, 1.95 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:47:00.676, 41, 1.95 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:47:01.179, 40, 1.93 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:47:01.688, 40, 1.93 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:47:02.189, 40, 1.94 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:47:02.696, 40, 1.94 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:47:03.201, 40, 1.92 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:47:03.710, 40, 1.92 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:47:04.219, 40, 1.93 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:47:04.729, 40, 1.93 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:47:05.235, 40, 1.92 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:47:05.741, 40, 1.92 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:47:06.249, 40, 1.92 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:47:06.759, 40, 1.92 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:47:07.266, 40, 1.93 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:47:07.769, 40, 1.93 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:47:08.279, 40, 1.93 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:47:08.786, 40, 1.93 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:47:09.287, 40, 1.92 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:47:09.793, 40, 1.92 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:47:10.293, 40, 1.93 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:47:10.801, 41, 4.38 W, 0 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 21:47:11.304, 42, 12.31 W, 0 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 21:47:11.807, 42, 18.57 W, 1 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 21:47:12.312, 42, 18.56 W, 1 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 21:47:12.819, 42, 18.55 W, 1 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 21:47:13.321, 41, 16.34 W, 0 %, 465 MHz, 810 MHz, 465 MHz, 0x0000000000000001
2026/05/01 21:47:13.831, 41, 12.70 W, 0 %, 390 MHz, 405 MHz, 390 MHz, 0x0000000000000001
2026/05/01 21:47:14.341, 41, 12.70 W, 0 %, 390 MHz, 405 MHz, 390 MHz, 0x0000000000000001
2026/05/01 21:47:14.849, 40, 2.34 W, 0 %, 255 MHz, 405 MHz, 255 MHz, 0x0000000000000001
2026/05/01 21:47:15.352, 40, 2.34 W, 0 %, 255 MHz, 405 MHz, 255 MHz, 0x0000000000000001
2026/05/01 21:47:15.860, 40, 2.03 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:47:16.370, 40, 2.03 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:47:16.880, 40, 1.95 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:47:17.391, 40, 1.95 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:47:17.900, 40, 1.91 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:47:18.402, 40, 1.91 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:47:18.912, 40, 1.91 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:47:19.418, 40, 2.04 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:47:19.919, 40, 2.31 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:47:20.429, 40, 2.30 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:47:20.929, 40, 2.30 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:47:21.438, 40, 2.02 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:47:21.944, 40, 2.02 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:47:22.449, 40, 2.00 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:47:22.958, 40, 2.00 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:47:23.463, 40, 2.01 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:47:23.975, 41, 2.67 W, 18 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 21:47:24.483, 42, 18.78 W, 0 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 21:47:24.985, 42, 18.66 W, 0 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 21:47:25.494, 42, 18.66 W, 0 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 21:47:26.008, 43, 18.89 W, 0 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 21:47:26.514, 43, 18.74 W, 0 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 21:47:27.025, 43, 19.01 W, 0 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 21:47:27.540, 43, 19.01 W, 8 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 21:47:28.047, 43, 18.65 W, 6 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 21:47:28.548, 43, 18.50 W, 0 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 21:47:29.064, 43, 9.20 W, 0 %, 600 MHz, 810 MHz, 600 MHz, 0x0000000000000001
2026/05/01 21:47:29.565, 43, 9.04 W, 0 %, 495 MHz, 810 MHz, 495 MHz, 0x0000000000000001
2026/05/01 21:47:30.068, 43, 8.93 W, 1 %, 375 MHz, 405 MHz, 375 MHz, 0x0000000000000001
2026/05/01 21:47:30.577, 43, 5.50 W, 2 %, 315 MHz, 405 MHz, 315 MHz, 0x0000000000000001
2026/05/01 21:47:31.086, 43, 5.98 W, 8 %, 270 MHz, 405 MHz, 270 MHz, 0x0000000000000001
2026/05/01 21:47:31.588, 43, 5.58 W, 1 %, 225 MHz, 405 MHz, 225 MHz, 0x0000000000000001
2026/05/01 21:47:32.088, 43, 5.54 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
