timestamp, temperature.gpu, temperature.memory, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB], clocks_event_reasons.active
2026/05/02 14:28:03.896, 49, N/A, 2.00 W, 0 %, 0 %, 408 MiB, 0x0000000000000001
2026/05/02 14:28:04.408, 49, N/A, 2.00 W, 0 %, 0 %, 408 MiB, 0x0000000000000001
2026/05/02 14:28:04.913, 50, N/A, 2.00 W, 0 %, 0 %, 408 MiB, 0x0000000000000001
2026/05/02 14:28:05.422, 50, N/A, 2.00 W, 0 %, 0 %, 408 MiB, 0x0000000000000001
2026/05/02 14:28:05.924, 49, N/A, 2.00 W, 0 %, 0 %, 408 MiB, 0x0000000000000001
2026/05/02 14:28:06.427, 49, N/A, 2.00 W, 0 %, 0 %, 408 MiB, 0x0000000000000001
2026/05/02 14:28:06.934, 49, N/A, 1.99 W, 0 %, 0 %, 408 MiB, 0x0000000000000001
2026/05/02 14:28:07.442, 49, N/A, 1.99 W, 0 %, 0 %, 408 MiB, 0x0000000000000001
2026/05/02 14:28:07.947, 49, N/A, 2.00 W, 0 %, 0 %, 408 MiB, 0x0000000000000001
2026/05/02 14:28:08.452, 49, N/A, 2.00 W, 0 %, 0 %, 408 MiB, 0x0000000000000001
2026/05/02 14:28:08.962, 49, N/A, 2.00 W, 0 %, 0 %, 408 MiB, 0x0000000000000001
2026/05/02 14:28:09.468, 49, N/A, 2.00 W, 0 %, 0 %, 408 MiB, 0x0000000000000001
2026/05/02 14:28:09.979, 49, N/A, 2.00 W, 0 %, 0 %, 408 MiB, 0x0000000000000001
2026/05/02 14:28:10.489, 49, N/A, 2.00 W, 0 %, 0 %, 408 MiB, 0x0000000000000001
2026/05/02 14:28:11.000, 49, N/A, 1.99 W, 0 %, 0 %, 408 MiB, 0x0000000000000001
2026/05/02 14:28:11.502, 49, N/A, 1.99 W, 0 %, 0 %, 408 MiB, 0x0000000000000001
2026/05/02 14:28:12.010, 49, N/A, 2.00 W, 0 %, 0 %, 408 MiB, 0x0000000000000001
2026/05/02 14:28:12.515, 49, N/A, 2.00 W, 0 %, 0 %, 408 MiB, 0x0000000000000001
2026/05/02 14:28:13.019, 49, N/A, 2.07 W, 0 %, 0 %, 408 MiB, 0x0000000000000001
2026/05/02 14:28:13.520, 49, N/A, 2.07 W, 0 %, 0 %, 408 MiB, 0x0000000000000001
