timestamp, temperature.gpu, temperature.memory, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB], clocks_event_reasons.active
2026/05/02 14:58:19.010, 44, N/A, 1.96 W, 0 %, 0 %, 433 MiB, 0x0000000000000001
2026/05/02 14:58:19.522, 44, N/A, 1.96 W, 0 %, 0 %, 433 MiB, 0x0000000000000001
2026/05/02 14:58:20.029, 44, N/A, 1.97 W, 0 %, 0 %, 433 MiB, 0x0000000000000001
2026/05/02 14:58:20.531, 44, N/A, 1.97 W, 0 %, 0 %, 433 MiB, 0x0000000000000001
2026/05/02 14:58:21.037, 44, N/A, 1.97 W, 0 %, 0 %, 433 MiB, 0x0000000000000001
2026/05/02 14:58:21.546, 44, N/A, 1.97 W, 0 %, 0 %, 433 MiB, 0x0000000000000001
2026/05/02 14:58:22.056, 44, N/A, 1.96 W, 0 %, 0 %, 433 MiB, 0x0000000000000001
2026/05/02 14:58:22.565, 44, N/A, 1.96 W, 0 %, 0 %, 433 MiB, 0x0000000000000001
2026/05/02 14:58:23.067, 44, N/A, 1.96 W, 0 %, 0 %, 433 MiB, 0x0000000000000001
2026/05/02 14:58:23.575, 44, N/A, 1.96 W, 0 %, 0 %, 433 MiB, 0x0000000000000001
2026/05/02 14:58:24.084, 44, N/A, 1.96 W, 0 %, 0 %, 433 MiB, 0x0000000000000001
2026/05/02 14:58:24.587, 44, N/A, 1.96 W, 0 %, 0 %, 433 MiB, 0x0000000000000001
2026/05/02 14:58:25.091, 44, N/A, 1.96 W, 0 %, 0 %, 433 MiB, 0x0000000000000001
2026/05/02 14:58:25.599, 44, N/A, 1.96 W, 0 %, 0 %, 433 MiB, 0x0000000000000001
2026/05/02 14:58:26.107, 44, N/A, 1.96 W, 0 %, 0 %, 433 MiB, 0x0000000000000001
2026/05/02 14:58:26.610, 44, N/A, 1.96 W, 0 %, 0 %, 433 MiB, 0x0000000000000001
2026/05/02 14:58:27.118, 44, N/A, 1.96 W, 0 %, 0 %, 433 MiB, 0x0000000000000001
2026/05/02 14:58:27.627, 44, N/A, 1.96 W, 0 %, 0 %, 433 MiB, 0x0000000000000001
2026/05/02 14:58:28.138, 44, N/A, 1.95 W, 0 %, 0 %, 433 MiB, 0x0000000000000001
2026/05/02 14:58:28.644, 44, N/A, 1.95 W, 0 %, 0 %, 433 MiB, 0x0000000000000001
2026/05/02 14:58:29.144, 44, N/A, 1.95 W, 0 %, 0 %, 433 MiB, 0x0000000000000001
2026/05/02 14:58:29.648, 44, N/A, 1.95 W, 0 %, 0 %, 433 MiB, 0x0000000000000001
2026/05/02 14:58:30.160, 44, N/A, 1.96 W, 0 %, 0 %, 433 MiB, 0x0000000000000001
2026/05/02 14:58:30.668, 44, N/A, 1.96 W, 0 %, 0 %, 433 MiB, 0x0000000000000001
2026/05/02 14:58:31.176, 44, N/A, 1.95 W, 0 %, 0 %, 433 MiB, 0x0000000000000001
2026/05/02 14:58:31.678, 44, N/A, 1.95 W, 0 %, 0 %, 433 MiB, 0x0000000000000001
2026/05/02 14:58:32.180, 44, N/A, 1.96 W, 0 %, 0 %, 433 MiB, 0x0000000000000001
2026/05/02 14:58:32.684, 44, N/A, 1.96 W, 0 %, 0 %, 433 MiB, 0x0000000000000001
2026/05/02 14:58:33.186, 44, N/A, 1.96 W, 0 %, 0 %, 433 MiB, 0x0000000000000001
2026/05/02 14:58:33.687, 44, N/A, 1.96 W, 0 %, 0 %, 433 MiB, 0x0000000000000001
2026/05/02 14:58:34.188, 44, N/A, 1.96 W, 0 %, 0 %, 433 MiB, 0x0000000000000001
2026/05/02 14:58:34.692, 44, N/A, 1.96 W, 0 %, 0 %, 440 MiB, 0x0000000000000001
2026/05/02 14:58:35.200, 45, N/A, 4.49 W, 0 %, 0 %, 459 MiB, 0x0000000000000001
2026/05/02 14:58:35.706, 45, N/A, 8.83 W, 0 %, 0 %, 459 MiB, 0x0000000000000001
2026/05/02 14:58:36.208, 45, N/A, 18.35 W, 0 %, 0 %, 459 MiB, 0x0000000000000001
2026/05/02 14:58:36.718, 45, N/A, 18.36 W, 0 %, 0 %, 459 MiB, 0x0000000000000001
2026/05/02 14:58:37.219, 45, N/A, 18.36 W, 0 %, 0 %, 459 MiB, 0x0000000000000001
2026/05/02 14:58:37.727, 44, N/A, 16.95 W, 0 %, 0 %, 459 MiB, 0x0000000000000001
2026/05/02 14:58:38.228, 44, N/A, 16.95 W, 0 %, 0 %, 459 MiB, 0x0000000000000001
2026/05/02 14:58:38.731, 44, N/A, 10.49 W, 0 %, 0 %, 459 MiB, 0x0000000000000001
2026/05/02 14:58:39.234, 44, N/A, 10.49 W, 0 %, 0 %, 459 MiB, 0x0000000000000001
2026/05/02 14:58:39.744, 44, N/A, 3.03 W, 0 %, 0 %, 459 MiB, 0x0000000000000001
2026/05/02 14:58:40.245, 44, N/A, 1.96 W, 0 %, 0 %, 459 MiB, 0x0000000000000001
2026/05/02 14:58:40.754, 44, N/A, 1.96 W, 0 %, 0 %, 459 MiB, 0x0000000000000001
2026/05/02 14:58:41.255, 44, N/A, 1.96 W, 0 %, 0 %, 459 MiB, 0x0000000000000001
2026/05/02 14:58:41.766, 44, N/A, 1.96 W, 0 %, 0 %, 459 MiB, 0x0000000000000001
2026/05/02 14:58:42.277, 44, N/A, 1.97 W, 0 %, 0 %, 459 MiB, 0x0000000000000001
2026/05/02 14:58:42.779, 44, N/A, 1.97 W, 0 %, 0 %, 459 MiB, 0x0000000000000001
2026/05/02 14:58:43.285, 44, N/A, 1.96 W, 0 %, 0 %, 459 MiB, 0x0000000000000001
2026/05/02 14:58:43.797, 44, N/A, 2.13 W, 0 %, 0 %, 459 MiB, 0x0000000000000001
2026/05/02 14:58:44.309, 44, N/A, 2.21 W, 0 %, 0 %, 459 MiB, 0x0000000000000001
2026/05/02 14:58:44.815, 44, N/A, 2.37 W, 0 %, 0 %, 459 MiB, 0x0000000000000001
2026/05/02 14:58:45.322, 44, N/A, 2.38 W, 0 %, 0 %, 459 MiB, 0x0000000000000001
2026/05/02 14:58:45.831, 44, N/A, 2.38 W, 0 %, 0 %, 459 MiB, 0x0000000000000001
2026/05/02 14:58:46.347, 44, N/A, 2.12 W, 0 %, 3 %, 534 MiB, 0x0000000000000001
2026/05/02 14:58:46.861, 45, N/A, 19.89 W, 9 %, 0 %, 546 MiB, 0x0000000000000001
2026/05/02 14:58:47.363, 46, N/A, 18.48 W, 0 %, 0 %, 537 MiB, 0x0000000000000001
2026/05/02 14:58:47.867, 46, N/A, 18.99 W, 0 %, 1 %, 561 MiB, 0x0000000000000001
