timestamp, temperature.gpu, temperature.memory, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB], clocks_event_reasons.active
2026/05/02 15:11:56.326, 41, N/A, 1.96 W, 0 %, 0 %, 440 MiB, 0x0000000000000001
2026/05/02 15:11:56.843, 41, N/A, 1.96 W, 0 %, 0 %, 440 MiB, 0x0000000000000001
2026/05/02 15:11:57.352, 41, N/A, 1.98 W, 0 %, 0 %, 440 MiB, 0x0000000000000001
2026/05/02 15:11:57.855, 41, N/A, 1.98 W, 0 %, 0 %, 440 MiB, 0x0000000000000001
2026/05/02 15:11:58.364, 41, N/A, 1.98 W, 0 %, 0 %, 440 MiB, 0x0000000000000001
2026/05/02 15:11:58.868, 41, N/A, 1.98 W, 0 %, 0 %, 440 MiB, 0x0000000000000001
2026/05/02 15:11:59.370, 41, N/A, 1.97 W, 0 %, 0 %, 440 MiB, 0x0000000000000001
2026/05/02 15:11:59.880, 41, N/A, 1.99 W, 0 %, 0 %, 440 MiB, 0x0000000000000001
2026/05/02 15:12:00.381, 41, N/A, 2.08 W, 0 %, 0 %, 440 MiB, 0x0000000000000001
2026/05/02 15:12:00.891, 41, N/A, 2.21 W, 0 %, 0 %, 440 MiB, 0x0000000000000001
2026/05/02 15:12:01.401, 41, N/A, 2.21 W, 0 %, 0 %, 440 MiB, 0x0000000000000001
2026/05/02 15:12:01.905, 41, N/A, 1.99 W, 0 %, 0 %, 440 MiB, 0x0000000000000001
2026/05/02 15:12:02.408, 41, N/A, 1.99 W, 0 %, 0 %, 440 MiB, 0x0000000000000001
2026/05/02 15:12:02.911, 41, N/A, 1.96 W, 0 %, 0 %, 440 MiB, 0x0000000000000001
2026/05/02 15:12:03.414, 41, N/A, 1.96 W, 0 %, 0 %, 440 MiB, 0x0000000000000001
2026/05/02 15:12:03.925, 41, N/A, 1.96 W, 0 %, 0 %, 440 MiB, 0x0000000000000001
2026/05/02 15:12:04.436, 41, N/A, 1.96 W, 0 %, 0 %, 440 MiB, 0x0000000000000001
2026/05/02 15:12:04.937, 41, N/A, 1.96 W, 0 %, 0 %, 440 MiB, 0x0000000000000001
2026/05/02 15:12:05.440, 41, N/A, 1.96 W, 0 %, 0 %, 440 MiB, 0x0000000000000001
2026/05/02 15:12:05.946, 41, N/A, 1.95 W, 0 %, 0 %, 440 MiB, 0x0000000000000001
2026/05/02 15:12:06.453, 41, N/A, 1.95 W, 0 %, 0 %, 440 MiB, 0x0000000000000001
2026/05/02 15:12:06.956, 41, N/A, 1.95 W, 0 %, 0 %, 440 MiB, 0x0000000000000001
2026/05/02 15:12:07.462, 41, N/A, 1.95 W, 0 %, 0 %, 440 MiB, 0x0000000000000001
2026/05/02 15:12:07.962, 41, N/A, 1.96 W, 0 %, 8 %, 440 MiB, 0x0000000000000001
2026/05/02 15:12:08.472, 41, N/A, 1.96 W, 0 %, 8 %, 440 MiB, 0x0000000000000001
2026/05/02 15:12:08.980, 41, N/A, 1.96 W, 0 %, 0 %, 439 MiB, 0x0000000000000001
2026/05/02 15:12:09.490, 41, N/A, 2.02 W, 0 %, 0 %, 439 MiB, 0x0000000000000001
2026/05/02 15:12:09.991, 41, N/A, 2.20 W, 0 %, 0 %, 439 MiB, 0x0000000000000001
2026/05/02 15:12:10.498, 41, N/A, 2.23 W, 0 %, 0 %, 439 MiB, 0x0000000000000001
2026/05/02 15:12:11.001, 41, N/A, 2.23 W, 0 %, 0 %, 439 MiB, 0x0000000000000001
2026/05/02 15:12:11.502, 41, N/A, 1.99 W, 0 %, 12 %, 439 MiB, 0x0000000000000001
2026/05/02 15:12:12.004, 41, N/A, 1.99 W, 0 %, 12 %, 439 MiB, 0x0000000000000001
