timestamp, temperature.gpu, temperature.memory, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB], clocks_event_reasons.active
2026/05/02 14:38:12.481, 45, N/A, 1.98 W, 0 %, 0 %, 380 MiB, 0x0000000000000001
2026/05/02 14:38:13.001, 45, N/A, 1.98 W, 0 %, 0 %, 380 MiB, 0x0000000000000001
2026/05/02 14:38:13.505, 45, N/A, 1.99 W, 0 %, 0 %, 380 MiB, 0x0000000000000001
2026/05/02 14:38:14.013, 45, N/A, 1.99 W, 0 %, 0 %, 380 MiB, 0x0000000000000001
2026/05/02 14:38:14.520, 45, N/A, 2.00 W, 0 %, 0 %, 380 MiB, 0x0000000000000001
2026/05/02 14:38:15.025, 45, N/A, 2.00 W, 0 %, 0 %, 380 MiB, 0x0000000000000001
2026/05/02 14:38:15.533, 45, N/A, 1.97 W, 0 %, 0 %, 380 MiB, 0x0000000000000001
2026/05/02 14:38:16.035, 45, N/A, 1.97 W, 0 %, 0 %, 380 MiB, 0x0000000000000001
2026/05/02 14:38:16.539, 45, N/A, 2.08 W, 0 %, 0 %, 380 MiB, 0x0000000000000001
2026/05/02 14:38:17.048, 45, N/A, 2.14 W, 0 %, 0 %, 380 MiB, 0x0000000000000001
2026/05/02 14:38:17.549, 45, N/A, 2.15 W, 0 %, 0 %, 380 MiB, 0x0000000000000001
2026/05/02 14:38:18.059, 45, N/A, 2.15 W, 0 %, 0 %, 380 MiB, 0x0000000000000001
2026/05/02 14:38:18.560, 45, N/A, 2.00 W, 0 %, 0 %, 380 MiB, 0x0000000000000001
2026/05/02 14:38:19.061, 45, N/A, 2.00 W, 0 %, 0 %, 380 MiB, 0x0000000000000001
2026/05/02 14:38:19.564, 45, N/A, 1.96 W, 0 %, 0 %, 380 MiB, 0x0000000000000001
2026/05/02 14:38:20.074, 45, N/A, 1.96 W, 0 %, 0 %, 380 MiB, 0x0000000000000001
2026/05/02 14:38:20.585, 45, N/A, 1.97 W, 0 %, 0 %, 380 MiB, 0x0000000000000001
2026/05/02 14:38:21.095, 45, N/A, 1.97 W, 0 %, 0 %, 380 MiB, 0x0000000000000001
2026/05/02 14:38:21.600, 45, N/A, 1.96 W, 0 %, 0 %, 380 MiB, 0x0000000000000001
2026/05/02 14:38:22.110, 45, N/A, 1.96 W, 0 %, 0 %, 380 MiB, 0x0000000000000001
2026/05/02 14:38:22.613, 45, N/A, 1.95 W, 0 %, 0 %, 380 MiB, 0x0000000000000001
2026/05/02 14:38:23.115, 45, N/A, 1.95 W, 0 %, 0 %, 380 MiB, 0x0000000000000001
2026/05/02 14:38:23.616, 45, N/A, 1.96 W, 0 %, 1 %, 380 MiB, 0x0000000000000001
2026/05/02 14:38:24.126, 45, N/A, 1.96 W, 0 %, 1 %, 380 MiB, 0x0000000000000001
2026/05/02 14:38:24.635, 45, N/A, 1.96 W, 0 %, 0 %, 380 MiB, 0x0000000000000001
2026/05/02 14:38:25.140, 45, N/A, 1.96 W, 0 %, 0 %, 380 MiB, 0x0000000000000001
2026/05/02 14:38:25.649, 45, N/A, 1.96 W, 0 %, 0 %, 380 MiB, 0x0000000000000001
2026/05/02 14:38:26.156, 45, N/A, 1.96 W, 0 %, 0 %, 380 MiB, 0x0000000000000001
2026/05/02 14:38:26.659, 45, N/A, 1.96 W, 0 %, 0 %, 380 MiB, 0x0000000000000001
2026/05/02 14:38:27.168, 45, N/A, 1.96 W, 0 %, 0 %, 380 MiB, 0x0000000000000001
2026/05/02 14:38:27.676, 45, N/A, 1.96 W, 0 %, 0 %, 380 MiB, 0x0000000000000001
2026/05/02 14:38:28.180, 45, N/A, 1.96 W, 0 %, 0 %, 380 MiB, 0x0000000000000001
2026/05/02 14:38:28.694, 45, N/A, 1.97 W, 0 %, 0 %, 380 MiB, 0x0000000000000001
2026/05/02 14:38:29.207, 45, N/A, 1.97 W, 0 %, 0 %, 380 MiB, 0x0000000000000001
2026/05/02 14:38:29.715, 45, N/A, 1.98 W, 0 %, 0 %, 380 MiB, 0x0000000000000001
2026/05/02 14:38:30.218, 45, N/A, 1.98 W, 0 %, 0 %, 380 MiB, 0x0000000000000001
2026/05/02 14:38:30.724, 45, N/A, 1.97 W, 0 %, 0 %, 380 MiB, 0x0000000000000001
2026/05/02 14:38:31.235, 45, N/A, 1.97 W, 0 %, 0 %, 380 MiB, 0x0000000000000001
2026/05/02 14:38:31.737, 45, N/A, 1.96 W, 0 %, 0 %, 380 MiB, 0x0000000000000001
2026/05/02 14:38:32.252, 45, N/A, 1.96 W, 0 %, 0 %, 380 MiB, 0x0000000000000001
2026/05/02 14:38:32.764, 44, N/A, 1.95 W, 0 %, 0 %, 380 MiB, 0x0000000000000001
2026/05/02 14:38:33.277, 44, N/A, 1.95 W, 0 %, 0 %, 380 MiB, 0x0000000000000001
2026/05/02 14:38:33.792, 44, N/A, 1.96 W, 0 %, 0 %, 380 MiB, 0x0000000000000001
2026/05/02 14:38:34.307, 44, N/A, 1.96 W, 0 %, 0 %, 380 MiB, 0x0000000000000001
2026/05/02 14:38:34.821, 44, N/A, 1.97 W, 0 %, 0 %, 380 MiB, 0x0000000000000001
2026/05/02 14:38:35.336, 44, N/A, 1.97 W, 0 %, 0 %, 380 MiB, 0x0000000000000001
2026/05/02 14:38:35.850, 44, N/A, 1.97 W, 0 %, 0 %, 380 MiB, 0x0000000000000001
2026/05/02 14:38:36.353, 44, N/A, 1.97 W, 0 %, 0 %, 380 MiB, 0x0000000000000001
2026/05/02 14:38:36.855, 44, N/A, 1.97 W, 0 %, 0 %, 380 MiB, 0x0000000000000001
2026/05/02 14:38:37.369, 44, N/A, 1.97 W, 0 %, 0 %, 380 MiB, 0x0000000000000001
2026/05/02 14:38:37.884, 44, N/A, 1.96 W, 0 %, 0 %, 380 MiB, 0x0000000000000001
2026/05/02 14:38:38.395, 44, N/A, 1.96 W, 0 %, 0 %, 380 MiB, 0x0000000000000001
2026/05/02 14:38:38.901, 44, N/A, 1.97 W, 0 %, 0 %, 380 MiB, 0x0000000000000001
2026/05/02 14:38:39.416, 44, N/A, 1.97 W, 0 %, 0 %, 380 MiB, 0x0000000000000001
2026/05/02 14:38:39.929, 45, N/A, 2.02 W, 0 %, 5 %, 441 MiB, 0x0000000000000001
2026/05/02 14:38:40.442, 46, N/A, 19.43 W, 2 %, 0 %, 469 MiB, 0x0000000000000001
2026/05/02 14:38:40.954, 47, N/A, 19.46 W, 5 %, 1 %, 493 MiB, 0x0000000000000001
2026/05/02 14:38:41.461, 47, N/A, 19.39 W, 0 %, 1 %, 526 MiB, 0x0000000000000001
2026/05/02 14:38:41.974, 47, N/A, 18.51 W, 4 %, 1 %, 542 MiB, 0x0000000000000024
2026/05/02 14:38:42.483, 47, N/A, 19.22 W, 1 %, 0 %, 542 MiB, 0x0000000000000001
2026/05/02 14:38:42.984, 47, N/A, 18.87 W, 2 %, 0 %, 550 MiB, 0x0000000000000001
2026/05/02 14:38:43.499, 47, N/A, 18.90 W, 4 %, 1 %, 585 MiB, 0x0000000000000001
2026/05/02 14:38:44.013, 47, N/A, 19.44 W, 3 %, 1 %, 620 MiB, 0x0000000000000001
2026/05/02 14:38:44.516, 48, N/A, 21.13 W, 6 %, 4 %, 656 MiB, 0x0000000000000001
2026/05/02 14:38:45.030, 48, N/A, 18.79 W, 5 %, 2 %, 691 MiB, 0x0000000000000001
2026/05/02 14:38:45.531, 48, N/A, 17.53 W, 0 %, 0 %, 691 MiB, 0x0000000000000001
2026/05/02 14:38:46.037, 47, N/A, 9.19 W, 2 %, 4 %, 750 MiB, 0x0000000000000001
2026/05/02 14:38:46.541, 47, N/A, 9.39 W, 18 %, 14 %, 930 MiB, 0x0000000000000001
2026/05/02 14:38:47.048, 47, N/A, 10.43 W, 48 %, 27 %, 954 MiB, 0x0000000000000001
2026/05/02 14:38:47.561, 53, N/A, 28.44 W, 89 %, 19 %, 970 MiB, 0x0000000000000001
2026/05/02 14:38:48.071, 54, N/A, 53.98 W, 8 %, 3 %, 970 MiB, 0x0000000000000000
2026/05/02 14:38:48.585, 60, N/A, 62.83 W, 76 %, 27 %, 970 MiB, 0x0000000000000000
2026/05/02 14:38:49.098, 61, N/A, 76.60 W, 74 %, 27 %, 972 MiB, 0x0000000000000000
2026/05/02 14:38:49.601, 61, N/A, 76.16 W, 75 %, 26 %, 977 MiB, 0x0000000000000000
2026/05/02 14:38:50.114, 62, N/A, 77.88 W, 78 %, 28 %, 991 MiB, 0x0000000000000004
2026/05/02 14:38:50.629, 63, N/A, 80.01 W, 83 %, 30 %, 991 MiB, 0x0000000000000004
2026/05/02 14:38:51.143, 62, N/A, 71.96 W, 68 %, 25 %, 990 MiB, 0x0000000000000000
2026/05/02 14:38:51.645, 63, N/A, 73.89 W, 71 %, 25 %, 990 MiB, 0x0000000000000000
2026/05/02 14:38:52.152, 63, N/A, 75.75 W, 73 %, 26 %, 990 MiB, 0x0000000000000000
2026/05/02 14:38:52.652, 63, N/A, 77.67 W, 73 %, 26 %, 989 MiB, 0x0000000000000000
2026/05/02 14:38:53.162, 64, N/A, 78.82 W, 76 %, 28 %, 989 MiB, 0x0000000000000000
2026/05/02 14:38:53.672, 64, N/A, 74.64 W, 72 %, 27 %, 989 MiB, 0x0000000000000000
2026/05/02 14:38:54.182, 65, N/A, 77.96 W, 76 %, 27 %, 989 MiB, 0x0000000000000004
